ticker,event,n_days,total_car,mean_ar,std_ar,t_stat,p_value,significant,beta
MC.PA,musical_extension,8,0.034140650576665765,0.004267581322083221,0.01803245214533875,0.6261466153894697,0.5510817836754217,False,1.47817889078647
MC.PA,musical_opening,8,0.02931798351177977,0.0036647479389724717,0.016764309357933813,0.5783722703535636,0.5811351354943549,False,1.7555107244425419
MC.PA,musical_previews,8,0.0546729110856341,0.006834113885704263,0.0071013858650921195,2.546174242121995,0.038317006892319094,True,1.820486537239599
MC.PA,nyc_premiere,8,0.012661353603235965,0.0015826692004044956,0.00947641213520235,0.44187072619993534,0.6719114167110003,False,0.8757985264268454
MC.PA,teaser_trailer,8,-0.013202947098968241,-0.0016503683873710301,0.007579993452140498,-0.5760512000697601,0.5826189979960512,False,1.2099410347367319
MC.PA,theatrical_release,4,,,,,,False,0.9821062001183789
TPR,full_trailer,8,0.17978128179320652,0.022472660224150818,0.036438257221847445,1.631721020277204,0.14675831517267166,False,1.6481285332746936
TPR,musical_extension,8,-0.044985516301501494,-0.005623189537687687,0.011321574474793884,-1.3140894073368485,0.2302386252146928,False,1.0238733875017383
TPR,musical_opening,8,-0.08740764900064554,-0.010925956125080693,0.008677579089713018,-3.33127044348523,0.01256915720695248,True,0.32802012120640417
TPR,musical_previews,8,0.09626109252184654,0.012032636565230816,0.04556004065083778,0.6987562678445011,0.5072484803130102,False,1.3106770237955274
TPR,nyc_premiere,8,-0.08713715452675329,-0.010892144315844161,0.016920068220811036,-1.703179013693603,0.132315937953498,False,1.2844428641248726
TPR,teaser_trailer,8,0.02830313966962982,0.0035378924587037264,0.020279719302416944,0.4615637658212231,0.6583946161608654,False,1.68689761660077
TPR,theatrical_release,4,-0.05245272024422054,-0.013113180061055135,0.011531926629186198,-1.9695489613212591,0.14350987855988215,False,1.441419620923735
