ticker,event,n_days,total_car,mean_ar,std_ar,t_stat,p_value,significant,beta,stars,total_car_pct,ticker_name
KER.PA,theatrical_release,4,,,,,,False,1.366809185745716,,,Kering
MC.PA,full_trailer,8,-0.0245625081103692,-0.0030703135137961,0.0155657716428487,-0.5218685068039982,0.6178630091767301,False,1.2236456212197169,,-2.456,LVMH
MC.PA,musical_extension,8,0.0341406505766657,0.0042675813220832,0.0180324521453387,0.6261466153894697,0.5510817836754217,False,1.47817889078647,,3.414,LVMH
MC.PA,musical_opening,8,0.0293180726347788,0.0036647590793473,0.0167643030846337,0.578374244963789,0.581133874047755,False,1.7555077973407365,,2.932,LVMH
MC.PA,musical_previews,8,0.0546728524715541,0.0068341065589442,0.0071013915511748,2.546169473684425,0.0383172736422693,True,1.8204822758181651,**,5.467,LVMH
MC.PA,nyc_premiere,8,0.0126613536032359,0.0015826692004044,0.0094764121352023,0.4418707261999353,0.6719114167110003,False,0.8757985264268454,,1.266,LVMH
MC.PA,prada_fw26_show,8,0.0437802841687074,0.0054725355210884,0.0149674379864602,0.9673644910281298,0.3655876687386939,False,1.3458300108219876,,4.378,LVMH
MC.PA,prada_ss26_show,8,-0.012999020463336,-0.001624877557917,0.0157631405567288,-0.2727262320415732,0.7929338618143751,False,0.929284554977533,,-1.3,LVMH
MC.PA,teaser_trailer,8,-0.0132029373453781,-0.0016503671681722,0.007580063097725,-0.576045481763896,0.5826226563917324,False,1.20994195076898,,-1.32,LVMH
MC.PA,theatrical_release,4,,,,,,False,0.9821062001183788,,,LVMH
RMS.PA,full_trailer,8,-0.0106641903291051,-0.0013330237911381,0.0124605384292441,-0.2830414964097154,0.7853323317478248,False,1.2274821591814602,,-1.066,Hermes
RMS.PA,musical_extension,8,-0.0734745507379747,-0.0091843188422468,0.0146358491062344,-1.6602674325030402,0.140819560515953,False,1.1654540855609432,,-7.347,Hermes
RMS.PA,musical_opening,8,0.0102861169294036,0.0012857646161754,0.0119191268867845,0.2854079372825943,0.7835919541345243,False,1.5304855767378216,,1.029,Hermes
RMS.PA,musical_previews,8,0.051291029553313,0.0064113786941641,0.0039653471235628,4.277787809551266,0.0036653468747921,True,1.732099780880643,***,5.129,Hermes
RMS.PA,nyc_premiere,8,0.0666034570047671,0.0083254321255958,0.015081815052607,1.4605021268754392,0.18753148342348,False,1.1041915339745063,,6.66,Hermes
RMS.PA,prada_fw26_show,8,-0.0161672945879385,-0.0020209118234923,0.0122579717468045,-0.4361920729621957,0.6758336967570547,False,1.1825282594677549,,-1.617,Hermes
RMS.PA,prada_ss26_show,8,-0.0091036479547548,-0.0011379559943443,0.0115728402320178,-0.2601564096288778,0.8022294813717064,False,0.9830728753875866,,-0.91,Hermes
RMS.PA,teaser_trailer,8,0.0322718807762981,0.0040339850970372,0.0098061470353866,1.0883909165125518,0.3124695706526925,False,1.20961887111165,,3.227,Hermes
RMS.PA,theatrical_release,4,,,,,,False,1.319965945417525,,,Hermes
TPR,full_trailer,8,0.179781289770515,0.0224726612213143,0.0364382547362053,1.6317212039885625,0.1467582762099986,False,1.6481277036210982,,17.978,Tapestry
TPR,musical_extension,8,-0.0449855163015014,-0.0056231895376876,0.0113215744747938,-1.3140894073368483,0.2302386252146928,False,1.0238733875017385,,-4.499,Tapestry
TPR,musical_opening,8,-0.0874075982646413,-0.0109259497830801,0.0086776158976717,-3.3312543795544367,0.012569434072575,True,0.328018773383568,**,-8.741,Tapestry
TPR,musical_previews,8,0.0962610111679934,0.0120326263959991,0.0455600405603234,0.6987556786876398,0.5072488267151303,False,1.3106752779901267,,9.626,Tapestry
TPR,nyc_premiere,8,-0.0871371545267532,-0.0108921443158441,0.016920068220811,-1.703179013693603,0.132315937953498,False,1.2844428641248726,,-8.714,Tapestry
TPR,prada_fw26_show,8,-0.0521311807568803,-0.00651639759461,0.0194530157059582,-0.8862773638781865,0.404885436800254,False,0.6188197388629924,,-5.213,Tapestry
TPR,prada_ss26_show,8,-0.022992626740777,-0.0028740783425971,0.020993827366978,-0.3622063004571275,0.7278858395747752,False,1.9307780252464628,,-2.299,Tapestry
TPR,teaser_trailer,8,0.028303162529686,0.0035378953162107,0.0202797040644253,0.4615644854351628,0.6583941246885046,False,1.6868970327218442,,2.83,Tapestry
TPR,theatrical_release,4,-0.0524527202442205,-0.0131131800610551,0.0115319266291861,-1.9695489613212591,0.1435098785598821,False,1.441419620923735,,-5.245,Tapestry
